MRT,latitude,longitude
Dhoby Ghaut MRT Station,1.298688723,103.8461799
Bras Basah MRT Station,1.296861686,103.8506674
Esplanade MRT Station,1.291339907,103.8546095
Promenade MRT Station,1.293073896,103.8610672
Nicoll Highway MRT Station,1.29956843,103.8639777
Stadium MRT Station,1.302812468,103.8753377
Mountbatten MRT Station,1.306154061,103.8830451
Dakota MRT Station,1.308431443,103.8892682
Paya Lebar MRT Station,1.318106569,103.8931587
MacPherson MRT Station,1.325838758,103.8903128
Tai Seng MRT Station,1.335339993,103.8882654
Bartley MRT Station,1.342445438,103.8801971
Serangoon MRT Station,1.350633615,103.8727717
Lorong Chuan MRT Station,1.351531286,103.8648122
Bishan MRT Station,1.351018898,103.8500572
Marymount MRT Station,1.348707263,103.8394231
Caldecott MRT Station,1.337347223,103.8395441
Botanic Gardens MRT Station,1.322386995,103.8153855
Farrer Road MRT Station,1.317439152,103.8073792
Holland Village MRT Station,1.312264226,103.7964704
Buona Vista MRT Station,1.306275348,103.7903632
one-north MRT Station,1.299689535,103.7874128
Kent Ridge MRT Station,1.293533499,103.7845727
Haw Par Villa MRT Station,1.281956887,103.781989
Pasir Panjang MRT Station,1.276213522,103.7913503
Labrador Park MRT Station,1.272368386,103.8034162
Telok Blangah MRT Station,1.270706478,103.8097616
HarbourFront MRT Station,1.265311399,103.8205573
Bukit Panjang MRT Station,1.379561212,103.7611889
Cashew MRT Station,1.369846014,103.7643151
Hillview MRT Station,1.362888457,103.7677809
Beauty World MRT Station,1.34090149,103.7757467
King Albert Park MRT Station,1.335893496,103.7832359
Sixth Avenue MRT Station,1.330857645,103.7969068
Tan Kah Kee MRT Station,1.326392241,103.8065482
Botanic Gardens MRT Station,1.322386995,103.8153855
Stevens MRT Station,1.320065558,103.8260244
Newton MRT Station,1.312602086,103.8381499
Little India MRT Station,1.307243816,103.8498416
Rochor MRT Station,1.303852186,103.8527694
Bugis MRT Station,1.30026469,103.8556148
Promenade MRT Station,1.293073896,103.8610672
Bayfront MRT Station,1.281873789,103.8590798
Downtown MRT Station,1.279446382,103.8528408
Telok Ayer MRT Station,1.282068948,103.8486488
Chinatown MRT Station,1.283964052,103.8431419
Fort Canning MRT Station,1.292481948,103.8443314
Bencoolen MRT Station,1.298918434,103.8503538
Jalan Besar MRT Station,1.305171388,103.8552957
Bendemeer MRT Station,1.313672528,103.8629776
Geylang Bahru MRT Station,1.321301102,103.8716226
Mattar MRT Station,1.326876715,103.8832475
MacPherson MRT Station,1.325838758,103.8903128
Ubi MRT Station,1.32988325,103.8990826
Kaki Bukit MRT Station,1.33496736,103.9084593
Bedok North MRT Station,1.334742117,103.9179783
Bedok Reservoir MRT Station,1.33660783,103.9322346
Tampines West MRT Station,1.345633658,103.9384925
Tampines MRT Station,1.356191483,103.9546345
Tampines East MRT Station,1.356191483,103.9546345
Upper Changi MRT Station,1.341739774,103.9614728
Expo MRT Station,1.334549778,103.9615482
Woodlands North MRT Station,1.448292453,103.7856927
Woodlands MRT Station,1.43681963,103.7860668
Woodlands South MRT Station,1.427396053,103.7932643
Springleaf MRT Station,1.397581061,103.8178569
Lentor MRT Station,1.38550658,103.8357438
Mayflower MRT Station,1.371463188,103.8365678
Bright Hill MRT Station,1.363283185,103.8328936
Upper Thomson MRT Station,1.354416434,103.8328985
Caldecott MRT Station,1.337347223,103.8395441
Mount Pleasant MRT Station,1.328564555,103.8351886
Stevens MRT Station,1.320065558,103.8260244
Napier MRT Station,1.306782234,103.8189568
Orchard Boulevard MRT Station,1.302422248,103.8238685
Orchard MRT Station,1.302422248,103.8238685
Great World MRT Station,1.293948162,103.8337208
Havelock MRT Station,1.28850524,103.8335858
Outram Park MRT Station,1.280241533,103.8400521
Maxwell MRT Station,1.280533298,103.8438837
Shenton Way MRT Station,1.277716828,103.8503676
Marina Bay MRT Station,1.276427355,103.8545978
Marina South MRT Station,1.274554759,103.8635743
Gardens by the Bay MRT Station,1.278487259,103.8674547
Tanjong Rhu MRT Station,1.297265079,103.8734533
Katong Park MRT Station,1.297831478,103.8861789
Tanjong Katong MRT Station,1.299319258,103.8973687
Marine Parade MRT Station,1.302611635,103.9049831
Marine Terrace MRT Station,1.306665103,103.9151067
Siglap MRT Station,1.310008694,103.9300258
Bayshore MRT Station,1.313122483,103.9423098
Bedok South MRT Station,1.316684007,103.9493112
Sungei Bedok MRT Station,1.320401487,103.9571838
